woman,wear,shirt,3845770407
woman,wear,watch,3845770407
woman,wear,short,3845770407
woman,wear,sneaker,3845770407
woman,on,grass,3845770407
woman,wear,earn,3845770407
woman,stand,grass,3845770407
woman,has,hair,3845770407
woman,front,woman,3845770407
woman,front,tree,3845770407
woman,next,can,3845770407
woman,wear,shirt,3845770407
frisbee,between,hand,3845770407
frisbee,abov,grass,3845770407
frisbee,abov,sneaker,3845770407
streetlamp,next,can,3845770407
streetlamp,front,build,3845770407
vehicle,behind,tree,3845770407
vehicle,behind,woman,3845770407
tree,front,vehicl,3845770407
tree,behind,woman,3845770407
balloon,front,baboon,3845770407
balloon,front,build,3845770407
balloon,front,baboon,3845770407
boy,hold,jacket,6279585054
boy,wear,shirt,6279585054
boy,front,henc,6279585054
boy,has,ear,6279585054
boy,left,ball,6279585054
boy,wear,shirt,6279585054
boy,stand,basket,6279585054
boy,has,eye,6279585054
boy,has,nose,6279585054
boy,has,mouth,6279585054
boy,has,ear,6279585054
boy,has,elbow,6279585054
boy,has,chin,6279585054
racket,has,handl,6279585054
balls,top,jacket,6279585054
balls,front,boy,6279585054
racket,in,basket,6279585054
basket,has,sign,6279585054
fence,behind,boy,6279585054
wall,behind,boy,6279585054
balls,in,basket,6279585054
tennis balls,on,jacket,6279585054
shirt,on,boy,6279585054
nose,abov,mouth,6279585054
sign,has,text,6279585054
tree,in,pot,2584263186
tree,next,cup,2584263186
plant,between,chair,2584263186
tree,in,room,2584263186
pot,between,chair,2584263186
pot,next,cup,2584263186
chairs,in,room,2584263186
chairs,top,floor,2584263186
cup,next,chair,2584263186
cup,on,floor,2584263186
cup,besid,chair,2584263186
broom,on,floor,2584263186
floor,under,chair,2584263186
signs,abov,countri,2584263186
menu,on,wall,2584263186
counter,behind,chair,2584263186
chair,next,pot,2584263186
chair,next,cup,2584263186
chair,front,sign,2584263186
papers,on,chair,2584263186
papers,next,tree,2584263186
papers,on,seat,2584263186
dad,has,head,4418514401
dad,huge,son,4418514401
dad,has,hat,4418514401
dad,has,glass,4418514401
dad,has,face,4418514401
head,has,glass,4418514401
son,with,man,4418514401
hat,on,man,4418514401
glasses,recov,eye,4418514401
glasses,on,man,4418514401
face,has,eye,4418514401
man,show,teeth,4418514401
man,wear,hat,4418514401
man,wear,jacket,4418514401
man,wear,jacket,4418514401
man,hold,son,4418514401
man,stand,boy,4418514401
man,wear,glass,4418514401
man,wear,glass,4418514401
boy,front,man,4418514401
boy,wear,jacket,4418514401
computer,on,tabl,8329270
mouse,on,tabl,8329270
table,on,rug,8329270
table,has,hous,8329270
water,in,bottl,8329270
magazines,on,tabl,8329270
calculator,on,tabl,8329270
plant,front,window,8329270
plant,front,wall,8329270
outlet,in,wall,8329270
chair,front,tabl,8329270
hole punch,on,tabl,8329270
cap,on,bottl,8329270
laptop,on,tabl,8329270
laptop,has,seaboard,8329270
laptop,has,mousepad,8329270
laptop,contain,mousepad,8329270
keyboard,on,laptop,8329270
